Feature,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,day -1,day 0,day 1,day 2,day 3,sigma
Q31,1.6786,37.017,26.7667,26.7667,27.0682,20.047,0.181,1.8154,49.5754,6.0802,6.3773,3.629,5.3463,4.907,-0.031559198,0.010319687,-0.001868403,-0.005587915,0.006656031,0.014726485
Q32,1.8783,36.8712,26.0482,26.0482,26.7106,19.534,0.1767,2.6257,34.2771,5.5937,5.8734,3.4525,4.9176,4.8495,0.029900575,0.004024486,-0.012328961,0.012555792,0.020567423,0.0144504
Q33,1.7837,37.4951,28.8008,28.8008,29.5966,21.8953,0.2239,3.2696,27.5266,7.0463,7.3464,4.9024,7.0463,5.1473,-0.026207374,0.043969931,-0.003459045,0.025631937,0.034250327,0.025928831
Q34,1.5433,38.6337,31.571,31.571,32.4186,23.9911,0.278,2.5314,35.5529,10.2697,10.7635,6.6695,10.2697,4.8437,-0.10084814,-0.018230363,-0.031165388,0.046129537,-0.003276917,0.047552224
Q35,1.4958,40.0406,30.4287,30.4287,30.2869,22.8633,0.2043,1.9241,46.7742,6.9563,7.2866,4.6705,6.9563,4.495,-0.024164345,0.005598869,-0.003902471,-0.020977364,0.011433576,0.014116079
Q36,1.5712,42.8119,33.044,33.044,33.8663,25.1949,0.215,2.4495,36.7421,7.8965,8.3022,5.417,7.8965,4.2581,-0.055724074,0.009183642,-0.008226727,0.027293218,0.020617863,0.029724756
Q37,1.583,47.3741,39.2589,39.2589,39.6366,29.6586,0.2596,2.846,31.6238,11.3388,11.8892,7.7001,11.3388,3.9152,0.090075706,-0.002227836,-0.015090324,-0.012087936,-0.02181536,0.041632707
Q38,1.5827,44.6831,37.4247,37.4247,37.7204,28.1959,0.3341,2.8108,32.0195,14.5069,15.2464,9.4202,14.5069,3.4501,0.066741405,-0.013469364,-0.009006473,0.003078462,0.021924735,0.029146163
Q39,1.6084,40.2547,30.8101,30.8101,31.0966,23.4277,0.2429,2.4127,37.3021,8.6445,9.1753,5.6913,8.6445,2.9445,-0.008106263,0.014333264,-0.011251594,-0.001440209,-0.012527812,0.009845087
Q40,1.7461,41.7276,32.827,32.827,33.429,25.5784,0.2676,2.4907,36.1342,10.5389,10.8374,6.8454,10.5389,2.6718,0.046823036,-0.023421734,0.003534234,0.005213979,0.024420828,0.023396525
Q1,1.6606,21.3206,5.7176,5.7176,5.1304,4.216,0.1961,5.4968,16.3731,1.9444,1.9864,0.8759,1.4096,24.7809,-0.030475359,0.004441575,-0.046705851,0.052819955,-0.035961446,0.036300261
Q2,1.8751,19.2293,5.3518,5.3518,3.5276,2.513,0.206,5.6967,15.7986,1.2828,1.3123,0.5676,0.9057,24.0365,0.028777182,-0.016872005,-0.013515924,-0.037683812,-0.013856567,0.02164503
Q3,1.6346,23.5207,9.2236,9.2236,6.3277,3.4204,0.192,4.992,18.0287,2.1845,2.254,0.8076,1.3419,17.8186,-0.024501187,0.029042381,-0.017328813,-0.015778895,-0.007492133,0.018916216
Q4,1.2499,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.046963336,-0.001996592,-0.008698636,0.017982482,-0.044403772,0.030202252
Q5,1.2425,20.6182,4.7285,4.7285,1.1696,0.2673,0.1607,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,0.079075543,-0.124605884,-0.074209884,0.119259175,-0.016970378,0.091363569
Q6,1.1346,18.838,4.8619,4.8619,2.3564,1.422,0.2152,5.577,16.1376,1.7678,1.9048,0.3847,0.6911,8.2508,-0.047425887,0.059374192,0.066797132,0.092865898,-0.012585622,0.052841279
Q7,1.0783,18.8958,4.1409,4.1409,2.7923,2.2688,0.1922,5.5878,16.1066,2.1796,2.3641,0.4574,0.8244,7.6467,-0.023320472,-0.022086596,0.000319445,0.010231747,-0.004816856,0.012998998
Q8,1.0619,14.5039,-2.6299,-2.6299,-5.8268,-6.4252,0.1992,5.5357,16.2581,-5.9206,-6.3881,-1.2205,-2.1848,7.3362,0.000748891,0.025262818,0.042452196,-0.001441361,-0.047688325,0.030471138
Q9,0.8307,12.4642,-11.4953,-11.4953,-14.2039,-15.6353,0.1571,4.3374,20.7499,-12.2174,-13.0475,-2.3104,-4.3787,6.2961,-0.044123551,0.025947176,-0.013349854,0.027542663,-0.006784135,0.026757415
Q10,0.8313,19.9632,5.7344,5.7344,3.2109,1.9387,0.243,7.6144,11.8198,3.6535,3.89,0.7072,1.3873,6.6555,0.006742387,-0.007038023,-0.008577804,-0.024552646,0.011546413,0.012719908
Q11,0.8103,22.3329,6.0961,6.0961,3.9713,4.5574,0.2332,5.9082,15.233,4.7904,5.1359,0.868,1.6962,6.1806,0.016070737,-0.00947047,-0.004208483,0.012514579,0.014916987,0.01064814
Q12,0.7329,15.4646,-15.5261,-15.5261,-18.2148,-17.9285,0.1434,7.023,12.815,-15.7101,-17.0233,-2.6611,-5.2153,5.545,-0.006779399,-0.004700504,0.070864127,-0.00963745,-0.032106121,0.035074847
Q13,0.738,13.3928,-17.513,-17.513,-22.8536,-20.8156,0.125,5.2214,17.2369,-14.7637,-15.9904,-2.8771,-5.5733,6.2616,0.049967354,0.011031365,-0.001297369,0.023326867,0.00065021,0.018784357
Q14,0.8561,13.3587,-18.1862,-18.1863,-23.7151,-20.555,0.1148,6.3807,14.105,-14.7333,-16.0244,-2.6914,-5.2633,6.2022,0.036002469,0.01616956,0.007749289,-0.010383548,-0.021675797,0.020199427
Q15,1.0927,15.0482,-17.941,-17.941,-22.4965,-20.7519,0.1062,4.9112,18.3256,-11.6224,-12.5281,-2.3879,-4.3698,6.874,-0.002101287,0.024733329,-0.019671089,0.01477307,-0.009868476,0.016163921
Q16,0.9714,23.8968,-8.6364,-8.6364,-13.8294,-12.0592,0.1071,6.1506,14.6326,-6.4593,-6.933,-1.5414,-3.0088,7.4489,0.004824293,0.029390909,0.000503518,0.009658687,0.001660708,0.010578274
Q17,1.1253,24.773,-9.5521,-9.5521,-13.7932,-12.2494,0.1076,6.123,14.6986,-6.8517,-7.4001,-1.5853,-3.064,7.0622,0.03861381,0.005705855,0.006411074,-0.022055409,-0.00248435,0.019596451
Q18,1.0743,19.0524,-11.6736,-11.6736,-9.1218,-5.311,0.1008,4.5771,19.663,-3.9629,-4.2517,-0.9684,-1.9223,6.8557,0.040096012,-0.017742377,0.004116251,-0.01135073,0.016045763,0.020646941
Q19,1.267,27.703,3.7252,3.7252,1.3057,0.9519,0.1825,7.0311,12.8003,0.8162,0.8162,0.1737,0.426,3.5782,-0.041181922,-0.005540156,0,0.023995487,0.001032602,0.021020789
Q20,1.3816,21.6356,-18.7431,-18.7431,-22.798,-23.0854,0.107,7.1112,12.6561,-11.6331,-11.6331,-2.4702,-5.6628,3.4055,0.018916922,-0.008733713,-0.005188879,0.006240964,-0.009110726,0.01078985
Q21,1.0163,22.0102,-21.6403,-21.6403,-24.2728,-24.6081,0.1248,3.6064,24.9554,-29.0888,-29.0887,-3.0709,-8.071,1.4498,-0.03860906,0.000192784,0.01837621,-0.017461406,0.001779178,0.019397069
Q22,0.9897,17.998,-21.4376,-21.4376,-25.9679,-26.3836,0.1505,7.1872,12.5223,-29.565,-29.9188,-3.9712,-10.1646,1.6492,-0.019547188,0.033583131,0.054729925,0.019418029,0.009569424,0.02474985
Q23,1.1743,24.7117,-19.6055,-19.6055,-24.3464,-24.5368,0.1241,7.8089,11.5253,-17.4843,-17.4843,-3.0455,-6.8774,2.0086,0.015647847,0.000520254,0.009877373,-0.04167362,-0.025882426,0.021930132
Q24,1.1024,22.343,-17.8212,-17.8212,-18.9596,-19.2913,0.1476,6.8878,13.0666,-25.7324,-25.7324,-2.8482,-6.6615,1.1266,-0.024173819,-0.022544673,-0.004207891,-0.009107345,0.020469908,0.016119825
Q25,1.3325,27.6709,-10.8999,-10.8999,-16.0809,-16.4043,0.1536,4.6982,19.1564,-18.6661,-18.6661,-2.5193,-5.5457,1.3074,0.001270381,0.016037286,0.030757776,-0.011331654,-0.003641976,0.015016697
Q26,1.5092,27.3553,-7.823,-7.823,-10.8622,-11.2508,0.1641,4.2217,21.3183,-11.8055,-11.8055,-1.846,-3.8596,1.4508,-0.004597253,0.014115635,-0.020508535,-0.029488292,0.012321495,0.017342443
Q27,1.8279,29.5668,-4.5937,-4.5937,-8.333,-8.7706,0.1567,5.4293,16.5766,-7.7976,-7.7976,-1.3739,-2.6495,1.5285,0.032309619,-0.012798869,0.014284172,0.029132455,0.003597564,0.016663067
Q28,2.184,27.6851,-3.7373,-3.7373,-7.8963,-8.0458,0.1522,7.9637,11.3013,-6.4998,-6.4998,-1.2247,-2.2111,1.5288,0.004149387,0.017053987,0.010125494,0.015113043,0.001830328,0.00593791
Q29,2.2328,24.9988,-7.0853,-7.0853,-7.8949,-8.0252,0.1379,8.5734,10.4976,-5.4602,-5.4602,-1.1066,-1.9805,1.4706,-0.011827955,0.022050165,-0.00059841,0.027851926,0.005436307,0.014583985
Q30,1.875,25.4529,-2.1705,-2.1705,-2.4229,-2.6436,0.2545,12.5276,7.1841,-2.4379,-2.4379,-0.6729,-1.2846,1.0839,0.117125807,0.010272687,-0.04541786,-0.050903364,0.085661726,0.067956236
Q31,1.0422,23.8481,-7.0834,-7.0834,-8.7443,-8.9246,0.1991,9.0657,9.9275,-6.8235,-6.8235,-1.7771,-5.8989,0.9206,-0.054953785,0.032581851,0.025833596,-0.026969045,-0.013726226,0.032824809
Q32,2.3216,24.8021,-2.9106,-2.9106,-7.4545,-7.5288,0.2146,3.5681,25.2233,-4.846,-4.846,-1.6157,-2.5055,1.0367,-0.01271415,-0.019680583,0.000468335,-0.046411689,-0.045073054,0.018378016
Q33,0.982,17.1451,-0.994,-0.994,2.029,2.0022,0.4912,12.1761,7.3915,6.6721,6.6721,0.9834,1.9809,0.2928,-0.00672535,0.150842965,0.151306779,-0.141355185,0.146436747,0.117521755
Q34,0.9734,7.7876,-29.6688,-29.6688,-29.4063,-29.358,0.2749,11.4124,7.8861,-72.1195,-72.1195,-8.0716,-16.7735,0.2184,0.019267395,0.008708326,0.021058906,0.000771511,0.002567393,0.008356247
Q35,0.7375,-17.4856,-216.4698,-216.4698,-220.9165,-221.148,0.0619,5.4675,16.461,397.5031,397.5031,-13.6934,-28.2224,-0.0527,0.012660385,0.000322582,-0.013309766,-0.010182351,0.032480902,0.01673127
Q36,1.1068,17.8667,-398.3604,-398.3604,-395.8054,-396.2143,0.0343,2.4179,37.2217,-169.7387,-169.7387,-13.5934,-22.804,0.1181,-0.041953995,0.00223299,0.023876269,0.043330633,0.038525274,0.031065884
Q37,1.5225,33.8449,-294.2387,-294.2387,-297.7227,-297.9183,0.0396,2.22,40.5413,-58.4069,-58.4069,-11.8083,-18.0498,0.2926,0.084450333,-0.014665664,-0.017699627,-0.053406029,-0.022728277,0.046718995
Q38,1.9486,19.8984,-205.5263,-205.5263,-206.6692,-206.9562,0.0552,4.1278,21.8034,-36.3717,-36.3717,-11.4219,-16.4555,0.4287,-0.024247201,0.006860579,0.00504077,-0.008912706,0.026212658,0.01686437
Q39,2.673,29.8686,-111.8111,-111.8111,-112.7025,-112.8533,0.0824,3.1598,28.483,-22.1265,-22.1265,-9.2935,-12.5203,0.5646,0.033901519,-0.002427154,0.016867868,0.030011077,-0.025243478,0.021970417
Q40,3.0112,31.8165,-100.9764,-100.9764,-101.0194,-101.2584,0.09,2.4958,36.0613,-16.9042,-16.9042,-9.1159,-12.1955,0.6702,0.062873201,0.039070462,-0.018578743,0.00990108,-0.054109303,0.041337413
Q1,4.0904,63.1021,30.1219,30.1219,29.4024,29.1225,0.1738,2.0597,43.6958,8.6249,14.6241,5.0606,6.3744,27.2468,-0.021081491,0.008868078,0.001800181,-0.034677117,-0.047707903,0.021366123
Q2,3.9229,62.6322,29.581,29.581,28.5231,28.2692,0.1758,1.8562,48.485,8.7127,16.1353,4.9701,6.2732,24.7722,-0.006458722,-0.018929975,0.018094119,-0.021240032,-0.002185101,0.014104111
Q3,6.0917,58.8464,16.8391,16.8391,15.7527,16.089,0.1535,1.8551,48.5153,4.4703,9.0578,2.4702,2.9798,22.5511,-0.012405984,-0.026493496,0.018758256,0.054387381,-0.019832441,0.030058103
Q4,10.2911,65.0649,31.6883,31.6883,31.8507,29.7727,0.1325,1.6151,55.724,7.0005,7.4005,3.9434,4.5717,21.2992,0.006706365,-0.025313524,0.036874324,-0.059826319,-0.024976015,0.032750785
Q5,7.6738,64.8953,31.8841,31.8841,32.7214,30.628,0.1793,1.8739,48.029,7.7925,8.243,5.4923,6.6995,19.9412,0.036731245,-0.027815547,-0.11852709,0.022361763,-0.052913712,0.055753595
Q6,8.4203,63.57,30.7565,30.7565,31.8182,29.8275,0.1906,2.0715,43.4473,8.0168,8.5189,5.6863,6.8085,18.3235,0.002779845,0.003678691,-0.028097294,0.034419668,-0.018943362,0.021664199
Q7,8.6492,59.7519,22.1404,22.1404,23.4975,21.4036,0.1746,1.6521,54.4746,5.3406,5.709,3.736,4.4787,16.9721,-0.011011209,0.054949692,0.029494759,0.038489289,-0.000175899,0.024473049
Q8,8.9848,58.3784,16.1261,16.1261,17.5225,17.7478,0.1583,1.7874,50.3514,4.0602,4.3623,2.8101,3.3698,15.9343,-0.002757255,-0.005411204,-0.038262162,0.01075801,-0.004549874,0.016209522
Q9,7.9436,54.7392,13.3333,13.3333,14.6939,25.6689,0.1659,1.5485,58.1225,6.0587,6.5215,4.2582,4.9956,15.4158,0.007826285,-0.007572906,0.029338581,-0.025292556,-0.012570769,0.018779811
Q10,7.0808,60.3898,33.26,33.26,33.983,38.6671,0.2329,1.4335,62.7821,12.9815,13.9646,9.0064,10.7311,15.5328,-0.046381561,-0.187238363,-0.009412355,-0.188011714,0.14268302,0.123591654
Q11,7.4083,63.2405,37.0477,37.0477,37.7842,35.2546,0.2424,1.8791,47.8963,12.5185,13.5491,8.5468,10.2115,14.4655,-0.001411737,-0.034810412,-0.039350436,0.021640966,0.013986242,0.024928034
Q12,8.5425,64.4839,40.3804,40.3804,40.8793,38.7902,0.2798,2.6287,34.2376,16.1203,17.6604,10.8552,12.8208,12.7133,-0.020620979,-0.018554938,0.029161131,0.003268824,0.001409184,0.018038053
Q13,8.0269,61.8688,36.8602,36.8602,37.1007,38.4404,0.259,2.3012,39.1103,14.9779,16.4535,9.9546,11.8338,12.3284,0.004065046,-0.018796222,-0.059834363,0.0287668,0.019383693,0.031666004
Q14,8.2561,59.522,33.953,33.953,33.9909,31.7906,0.2682,2.2588,39.8445,13.1927,14.7769,8.5249,10.0492,10.4819,0.017303073,0.006055151,-0.006518915,0.007946456,-0.013714673,0.011002564
Q15,7.8198,58.3857,30.852,30.852,30.6727,26.1435,0.2372,1.8384,48.9552,9.7606,11.0438,6.2008,7.3223,9.955,0.004414142,0.035946661,-0.005581122,-0.009614564,-0.012165113,0.017603555
Q16,8.2564,59.3702,28.6009,28.6009,27.6717,26.1745,0.2058,1.9846,45.3485,8.2681,9.3473,5.3879,6.2385,10.3059,0.013911585,0.008978965,-0.006833787,-0.014896166,0.040981515,0.019323786
Q17,4.774,59.9632,33.7322,33.7322,33.41,30.1427,0.2208,2.6308,34.2108,11.3676,12.996,6.6558,8.4234,9.8496,-0.009684165,-0.014753294,-0.036849389,-0.01646844,0.007295918,0.014148184
Q18,4.0701,59.0319,31.8862,31.8862,30.988,27.0459,0.2085,2.4058,37.4102,10.1803,11.8186,5.6388,7.3661,9.8776,-0.008431592,0.004491486,0.007441269,-0.00584202,0.001383907,0.006041505
Q19,2.5575,57.8431,22.1989,22.1989,22.1989,18.2773,0.1914,2.2174,40.5882,5.8259,7.0086,3.4982,5.7237,8.3738,0.009403211,0.001426649,-0.018707109,-0.00436718,0.009518506,0.010474729
Q20,2.4358,57.5479,18.774,18.774,18.4674,15.9387,0.1836,2.4952,36.069,4.9571,6.0765,2.9263,4.8553,7.8577,0.024022549,-0.005509656,0.009895644,0.008714602,0.008639396,0.009349914
Q21,2.5746,56.3883,17.8444,17.8444,18.1299,14.8465,0.1901,2.7743,32.4411,4.6543,5.6445,2.8223,4.5554,8.2913,0.033295305,0.006949705,0.008992844,0.008616928,0.005899745,0.010333223
Q22,6.8234,56.2452,18.774,18.774,18.774,18.8506,0.1819,2.4347,36.9655,5.5095,6.6939,3.429,4.1823,8.2993,-0.002299219,0.02372165,0.006721132,0.009523857,-0.02333491,0.015539076
Q23,5.9915,54.987,6.5915,6.5915,6.2446,2.255,0.1652,2.2432,40.1214,0.6213,0.7699,0.3725,0.4646,7.7644,-0.00734821,-0.013980119,-0.032643164,-0.08190047,0.064476868,0.047245143
Q24,6.6048,56.7333,15.2911,15.2911,14.9435,11.6421,0.1579,2.5297,35.5778,2.9412,3.5896,1.8379,2.2483,8.4684,-0.007100694,0,-0.005239293,-0.008633162,0.005284692,0.005120624
Q25,6.3761,55.9552,18.5452,18.5452,18.2254,15.4277,0.1737,2.6392,34.1007,4.3685,5.3941,2.6802,3.3184,8.1064,-0.014892967,-0.004422846,0.014084727,0.001746765,0.014295237,0.011169345
Q26,5.7191,55.1837,17.3878,17.3878,17.0612,14.1225,0.1779,2.1743,41.3927,4.1145,5.2107,2.5124,3.091,7.7356,0.019593759,-0.011508735,0.032188944,-0.000975156,0.001949363,0.015601045
Q27,6.1902,56.1197,14.7779,14.7779,14.0526,11.6047,0.1591,2.3487,38.3194,2.9734,3.7636,1.8461,2.2492,7.9437,0.004153689,-0.005194738,-0.007843257,0.005757703,0,0.005233567
Q28,5.8732,54.7598,13.6899,13.6899,14.7779,12.4207,0.1607,2.7823,32.3476,3.2877,4.2202,1.9957,2.4698,7.4682,-0.00815885,-0.006025694,0.012015399,0.009724566,0.015471048,0.009748051
Q29,5.949,54.1476,14.5707,14.5707,14.74,12.8426,0.1578,2.6833,33.5404,3.297,4.1774,2.0263,2.5201,7.8458,0.009852313,-0.044550861,0.017499818,0.001118487,0.027021208,0.024881908
Q30,4.1076,55.4491,13.3769,13.3769,13.424,11.2654,0.1845,2.3545,38.224,2.7481,3.537,2.0789,2.7373,7.5996,-0.012722806,-0.010943146,-0.014341854,0.007848362,-0.011136707,0.008146897
Q31,4.1918,55.8245,10.7992,10.7992,11.4425,9.8694,0.1755,2.3372,38.5076,2.3117,3.0059,1.7317,2.3019,7.2108,-0.000672737,0.000672737,0.007370195,-0.000667731,-0.008048325,0.004900695
Q32,4.977,54.3152,8.6705,8.6705,9.2237,8.1584,0.152,2.7514,32.7103,1.6143,2.0246,1.2404,1.6082,8.3489,0.008716057,-0.051363568,0.022238627,0.006849303,-0.014438205,0.025719027
Q33,4.8916,52.9046,16.5844,16.5844,16.8134,15.7171,0.1726,2.4368,36.9343,3.6036,4.4904,2.7131,3.5895,7.8276,-0.000788276,0.004720659,0.006259796,-0.005475156,-0.015014077,0.007697857
Q34,4.4634,52.8737,20.9463,20.9463,21.0635,17.3639,0.1982,2.7062,33.2569,4.427,5.5746,3.4416,4.4087,7.5584,0,-0.000863205,-0.007802394,0.032537127,0.004203469,0.014002251
Q35,4.1233,51.7796,13.3704,13.3704,13.9052,11.3999,0.1772,2.345,38.379,2.673,3.435,2.0205,2.6609,7.1894,-0.01232044,0.006179161,-0.020747579,0.01937775,-0.024281483,0.016633527
Q36,4.256,50.1001,7.8741,7.8741,8.3357,6.5346,0.162,2.2495,40.0096,1.4096,1.8409,1.0588,1.4028,6.9286,-0.022232246,0.040788688,-0.033322859,0.04049136,-0.001588599,0.03096438
Q37,4.1995,51.4075,12.8323,12.8323,13.0694,12.1722,0.1717,2.8357,31.7384,2.7987,3.6502,2.0894,2.7843,6.7719,-0.015577728,0.009510965,-0.026028875,0.012413974,0.006149671,0.01527042
Q38,3.9474,52.216,18.4856,18.4856,19.2075,16.7207,0.2095,2.8718,31.3394,4.4866,5.9772,3.5031,4.462,6.5069,0.075825778,0.008751326,-0.045945693,0.017391743,0.021154007,0.038719098
Q39,3.4547,51.6749,17.1202,17.1202,17.4662,14.911,0.209,2.4206,37.1808,4.1083,5.5363,3.116,4.0834,6.1112,-0.032335387,-0.027768498,0.073648133,-0.00825518,0.037712363,0.040893178
Q40,3.5639,50.3621,16.0973,16.0973,16.266,14.0555,0.2031,2.8031,32.107,3.9219,4.8306,2.8547,3.8959,5.7436,0.028987483,0.050552257,0.003515023,-0.039882621,-0.017895222,0.03222185
Q1,2.294,68.7215,40.8766,40.8766,41.3274,37.0618,0.135,1.5845,56.8019,11.4918,20.1578,5.0042,8.3772,17.8531,-0.000305852,-0.02125027,-0.002423975,-0.022645469,0.014548845,0.013973161
Q2,2.5779,67.0489,41.5475,41.5475,42.569,35.897,0.1416,1.5772,57.0638,11.8731,19.4596,5.0842,8.3416,17.259,0.011887881,0.02613693,-0.010092775,0.001611556,-0.003948664,0.012755343
